"filename", "language", "Markdown", "XML", "YAML", "Dart", "Groovy", "C++", "Swift", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.github\dependabot.yml", "YAML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 3, 13
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\codeStyles\Project.xml", "XML", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\flutter-front.iml", "XML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\workspace.xml", "XML", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 12, 64
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\src\debug\AndroidManifest.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\src\main\AndroidManifest.xml", "XML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 16, 1, 48
