Date : 2021-03-01 20:23:53
Directory : c:\Users\Jaisal Shah\Desktop\Projects\flutter-front
Total : 49 files,  2286 codes, 118 comments, 183 blanks, all 2587 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         23 |      1,666 |         34 |        114 |      1,814 |
| XML        |         12 |        310 |         40 |          8 |        358 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| Groovy     |          3 |         84 |          3 |         22 |        109 |
| YAML       |          2 |         43 |         40 |         20 |        103 |
| Markdown   |          3 |         16 |          0 |         12 |         28 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          9 |          1 |          2 |         12 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         49 |      2,286 |        118 |        183 |      2,587 |
| .github                                                                                                                   |          1 |          6 |          4 |          3 |         13 |
| .idea                                                                                                                     |          5 |        197 |          0 |          0 |        197 |
| .idea\codeStyles                                                                                                          |          1 |        116 |          0 |          0 |        116 |
| gssuite                                                                                                                   |         42 |      2,080 |        114 |        177 |      2,371 |
| gssuite\android                                                                                                           |         10 |        145 |         42 |         30 |        217 |
| gssuite\android\app                                                                                                       |          6 |        101 |         41 |         18 |        160 |
| gssuite\android\app\src                                                                                                   |          5 |         52 |         38 |          6 |         96 |
| gssuite\android\app\src\debug                                                                                             |          1 |          4 |          3 |          1 |          8 |
| gssuite\android\app\src\main                                                                                              |          3 |         44 |         32 |          4 |         80 |
| gssuite\android\app\src\main\res                                                                                          |          2 |         13 |         16 |          3 |         32 |
| gssuite\android\app\src\main\res\drawable                                                                                 |          1 |          4 |          7 |          2 |         13 |
| gssuite\android\app\src\main\res\values                                                                                   |          1 |          9 |          9 |          1 |         19 |
| gssuite\android\app\src\profile                                                                                           |          1 |          4 |          3 |          1 |          8 |
| gssuite\android\gradle                                                                                                    |          1 |          5 |          1 |          1 |          7 |
